EC,Activators
EC_1.1.1.101,C00116
EC_1.1.1.101,C00157
EC_1.1.1.101,C00184
EC_1.1.1.101,C00469
EC_1.1.1.11,C01904
EC_1.1.1.14,C00097
EC_1.1.1.14,C00794
EC_1.1.1.169,C00058
EC_1.1.1.2,C00009
EC_1.1.1.2,C00059
EC_1.1.1.2,C00212
EC_1.1.1.205,C00002
EC_1.1.1.205,C00008
EC_1.1.1.205,C00020
EC_1.1.1.205,C00051
EC_1.1.1.205,C00097
EC_1.1.1.205,C00238
EC_1.1.1.205,C01260
EC_1.1.1.205,C01330
EC_1.1.1.21,C00005
EC_1.1.1.21,C00018
EC_1.1.1.21,C00051
EC_1.1.1.21,C00059
EC_1.1.1.21,C00181
EC_1.1.1.21,C00546
EC_1.1.1.21,C00794
EC_1.1.1.25,C00076
EC_1.1.1.25,C00305
EC_1.1.1.25,C19610
EC_1.1.1.283,C00051
EC_1.1.1.283,C00097
EC_1.1.1.283,C00546
EC_1.1.1.284,C00004
EC_1.1.1.284,C00051
EC_1.1.1.284,C00067
EC_1.1.1.303,C00305
EC_1.1.1.303,C19610
EC_1.1.1.34,C06424
EC_1.1.1.37,C00051
EC_1.1.1.37,C00097
EC_1.1.1.37,C00122
EC_1.1.1.37,C00149
EC_1.1.1.37,C00158
EC_1.1.1.37,C00311
EC_1.1.1.38,C00002
EC_1.1.1.38,C00010
EC_1.1.1.38,C00042
EC_1.1.1.38,C00049
EC_1.1.1.38,C00074
EC_1.1.1.38,C00075
EC_1.1.1.38,C00122
EC_1.1.1.4,C00007
EC_1.1.1.41,C00002
EC_1.1.1.41,C00003
EC_1.1.1.41,C00008
EC_1.1.1.41,C00020
EC_1.1.1.41,C00158
EC_1.1.1.42,C00008
EC_1.1.1.42,C00025
EC_1.1.1.42,C00033
EC_1.1.1.42,C00042
EC_1.1.1.42,C00158
EC_1.1.1.42,C00311
EC_1.1.1.42,C00417
EC_1.1.1.44,C00002
EC_1.1.1.44,C00008
EC_1.1.1.44,C00020
EC_1.1.1.44,C00049
EC_1.1.1.44,C00078
EC_1.1.1.44,C00085
EC_1.1.1.44,C00135
EC_1.1.1.44,C00257
EC_1.1.1.44,C00345
EC_1.1.1.44,C01094
EC_1.1.1.49,C00002
EC_1.1.1.49,C00027
EC_1.1.1.49,C00062
EC_1.1.1.49,C00089
EC_1.1.1.49,C00116
EC_1.1.1.49,C00315
EC_1.1.1.49,C00352
EC_1.1.1.49,C01083
EC_1.1.1.8,C00002
EC_1.1.1.8,C00009
EC_1.1.1.8,C00116
EC_1.1.1.8,C00345
EC_1.1.1.8,C00665
EC_1.1.1.86,C00072
EC_1.1.1.87,C00288
EC_1.1.1.87,C00322
EC_1.1.1.9,C00031
EC_1.1.1.9,C00037
EC_1.1.1.9,C00051
EC_1.1.1.9,C00097
EC_1.1.1.9,C00116
EC_1.1.1.9,C00181
EC_1.1.1.9,C00259
EC_1.1.1.95,C00009
EC_1.1.1.95,C00041
EC_1.1.1.95,C00059
EC_1.1.1.95,C00073
EC_1.1.1.95,C00097
EC_1.1.1.95,C00155
EC_1.1.1.95,C00183
EC_1.1.1.95,C00263
EC_1.1.2.4,C00149
EC_1.1.2.4,C00256
EC_1.1.5.3,C00016
EC_1.1.5.3,C00061
EC_1.1.5.3,C00524
EC_1.1.5.3,C00865
EC_1.11.1.5,C00027
EC_1.11.1.6,C00005
EC_1.11.1.6,C00076
EC_1.11.1.6,C00135
EC_1.11.1.6,C00157
EC_1.11.1.6,C00305
EC_1.11.1.6,C19610
EC_1.11.1.9,C00051
EC_1.11.1.9,C00097
EC_1.13.11.19,C00087
EC_1.13.11.27,C00051
EC_1.13.11.27,C00072
EC_1.13.11.27,C00101
EC_1.13.11.27,C00132
EC_1.13.11.27,C00469
EC_1.13.11.27,C05979
EC_1.13.11.5,C00051
EC_1.13.11.5,C00072
EC_1.13.11.5,C00097
EC_1.13.11.52,C00007
EC_1.13.11.52,C00027
EC_1.13.11.52,C00051
EC_1.13.11.52,C00072
EC_1.13.11.52,C00078
EC_1.13.11.52,C00097
EC_1.13.11.52,C00294
EC_1.13.11.52,C00430
EC_1.13.11.52,C00704
EC_1.13.11.52,C00955
EC_1.14.12.17,C00072
EC_1.14.19.1,C00017
EC_1.14.19.1,C00412
EC_1.15.1.1,C00086
EC_1.15.1.1,C00116
EC_1.16.1.7,C14818
EC_1.17.4.1,C00002
EC_1.17.4.1,C00007
EC_1.17.4.1,C00008
EC_1.17.4.1,C00009
EC_1.17.4.1,C00027
EC_1.17.4.1,C00044
EC_1.17.4.1,C00131
EC_1.17.4.1,C00286
EC_1.17.4.1,C00361
EC_1.17.4.1,C00458
EC_1.17.4.1,C00459
EC_1.17.4.1,C01260
EC_1.17.4.1,C01345
EC_1.2.1.12,C00002
EC_1.2.1.12,C00003
EC_1.2.1.12,C00005
EC_1.2.1.12,C00027
EC_1.2.1.12,C00051
EC_1.2.1.12,C00097
EC_1.2.1.12,C00132
EC_1.2.1.12,C00469
EC_1.2.1.12,C05979
EC_1.2.1.16,C00051
EC_1.2.1.16,C00097
EC_1.2.1.16,C00334
EC_1.2.1.3,C00003
EC_1.2.1.3,C00004
EC_1.2.1.3,C00013
EC_1.2.1.3,C00051
EC_1.2.1.3,C00072
EC_1.2.1.3,C00084
EC_1.2.1.3,C00479
EC_1.2.1.31,C00002
EC_1.2.1.31,C00097
EC_1.2.1.4,C00469
EC_1.2.1.41,C00009
EC_1.2.1.5,C00027
EC_1.2.1.5,C00469
EC_1.2.1.88,C00624
EC_1.2.4.2,C00004
EC_1.2.4.2,C00008
EC_1.2.4.2,C00051
EC_1.2.4.2,C00068
EC_1.2.4.2,C00469
EC_1.3.1.6,C00037
EC_1.3.1.6,C00135
EC_1.3.1.70,C00157
EC_1.3.1.70,C00865
EC_1.3.3.3,C00007
EC_1.3.3.3,C00019
EC_1.3.3.3,C00022
EC_1.3.3.3,C00073
EC_1.3.3.3,C00157
EC_1.3.3.3,C00416
EC_1.3.3.3,C00865
EC_1.3.3.3,C01356
EC_1.3.3.3,C02737
EC_1.3.3.3,C04230
EC_1.3.3.4,C00016
EC_1.3.3.4,C00027
EC_1.3.3.4,C00051
EC_1.3.3.4,C00097
EC_1.3.3.4,C00162
EC_1.3.3.4,C00712
EC_1.3.3.4,C01356
EC_1.3.3.4,C17568
EC_1.3.3.6,C00010
EC_1.3.3.6,C00163
EC_1.3.5.1,C00002
EC_1.3.5.1,C00009
EC_1.3.5.1,C00013
EC_1.3.5.1,C00042
EC_1.3.5.1,C00081
EC_1.3.5.1,C00091
EC_1.3.5.1,C00104
EC_1.3.5.1,C00122
EC_1.3.5.1,C00164
EC_1.3.5.1,C00311
EC_1.3.5.1,C00390
EC_1.3.5.1,C00865
EC_1.3.5.1,C01847
EC_1.3.5.1,C03189
EC_1.4.1.2,C00002
EC_1.4.1.2,C00008
EC_1.4.1.2,C00020
EC_1.4.1.2,C00027
EC_1.4.1.2,C00037
EC_1.4.1.2,C00038
EC_1.4.1.2,C00041
EC_1.4.1.2,C00047
EC_1.4.1.2,C00049
EC_1.4.1.2,C00062
EC_1.4.1.2,C00064
EC_1.4.1.2,C00065
EC_1.4.1.2,C00073
EC_1.4.1.2,C00078
EC_1.4.1.2,C00079
EC_1.4.1.2,C00082
EC_1.4.1.2,C00086
EC_1.4.1.2,C00097
EC_1.4.1.2,C00101
EC_1.4.1.2,C00116
EC_1.4.1.2,C00123
EC_1.4.1.2,C00135
EC_1.4.1.2,C00152
EC_1.4.1.2,C00183
EC_1.4.1.2,C00188
EC_1.4.1.2,C00311
EC_1.4.1.2,C00360
EC_1.4.1.2,C00407
EC_1.4.1.4,C00002
EC_1.4.1.4,C00008
EC_1.4.1.4,C00020
EC_1.4.1.4,C00035
EC_1.4.1.4,C00038
EC_1.4.1.4,C00044
EC_1.4.1.4,C00075
EC_1.4.1.4,C00104
EC_1.4.1.4,C00132
EC_1.4.1.4,C00469
EC_1.4.1.4,C00490
