"","EC","class"
"1","1.1.1.1","Oxidoreductases"
"2","1.1.1.10","Oxidoreductases"
"3","1.1.1.100","Oxidoreductases"
"4","1.1.1.101","Oxidoreductases"
"5","1.1.1.102","Oxidoreductases"
"6","1.1.1.103","Oxidoreductases"
"7","1.1.1.105","Oxidoreductases"
"8","1.1.1.11","Oxidoreductases"
"9","1.1.1.110","Oxidoreductases"
"10","1.1.1.116","Oxidoreductases"
"11","1.1.1.117","Oxidoreductases"
"12","1.1.1.12","Oxidoreductases"
"13","1.1.1.120","Oxidoreductases"
"14","1.1.1.122","Oxidoreductases"
"15","1.1.1.127","Oxidoreductases"
"16","1.1.1.129","Oxidoreductases"
"17","1.1.1.13","Oxidoreductases"
"18","1.1.1.130","Oxidoreductases"
"19","1.1.1.132","Oxidoreductases"
"20","1.1.1.133","Oxidoreductases"
"21","1.1.1.135","Oxidoreductases"
"22","1.1.1.136","Oxidoreductases"
"23","1.1.1.137","Oxidoreductases"
"24","1.1.1.138","Oxidoreductases"
"25","1.1.1.14","Oxidoreductases"
"26","1.1.1.140","Oxidoreductases"
"27","1.1.1.145","Oxidoreductases"
"28","1.1.1.146","Oxidoreductases"
"29","1.1.1.149","Oxidoreductases"
"30","1.1.1.15","Oxidoreductases"
"31","1.1.1.153","Oxidoreductases"
"32","1.1.1.154","Oxidoreductases"
"33","1.1.1.156","Oxidoreductases"
"34","1.1.1.157","Oxidoreductases"
"35","1.1.1.16","Oxidoreductases"
"36","1.1.1.169","Oxidoreductases"
"37","1.1.1.17","Oxidoreductases"
"38","1.1.1.170","Oxidoreductases"
"39","1.1.1.173","Oxidoreductases"
"40","1.1.1.175","Oxidoreductases"
"41","1.1.1.178","Oxidoreductases"
"42","1.1.1.179","Oxidoreductases"
"43","1.1.1.18","Oxidoreductases"
"44","1.1.1.181","Oxidoreductases"
"45","1.1.1.184","Oxidoreductases"
"46","1.1.1.189","Oxidoreductases"
"47","1.1.1.19","Oxidoreductases"
"48","1.1.1.193","Oxidoreductases"
"49","1.1.1.195","Oxidoreductases"
"50","1.1.1.2","Oxidoreductases"
"51","1.1.1.20","Oxidoreductases"
"52","1.1.1.202","Oxidoreductases"
"53","1.1.1.203","Oxidoreductases"
"54","1.1.1.205","Oxidoreductases"
"55","1.1.1.206","Oxidoreductases"
"56","1.1.1.21","Oxidoreductases"
"57","1.1.1.211","Oxidoreductases"
"58","1.1.1.213","Oxidoreductases"
"59","1.1.1.215","Oxidoreductases"
"60","1.1.1.218","Oxidoreductases"
"61","1.1.1.219","Oxidoreductases"
"62","1.1.1.22","Oxidoreductases"
"63","1.1.1.23","Oxidoreductases"
"64","1.1.1.232","Oxidoreductases"
"65","1.1.1.237","Oxidoreductases"
"66","1.1.1.239","Oxidoreductases"
"67","1.1.1.24","Oxidoreductases"
"68","1.1.1.244","Oxidoreductases"
"69","1.1.1.247","Oxidoreductases"
"70","1.1.1.248","Oxidoreductases"
"71","1.1.1.25","Oxidoreductases"
"72","1.1.1.250","Oxidoreductases"
"73","1.1.1.251","Oxidoreductases"
"74","1.1.1.256","Oxidoreductases"
"75","1.1.1.259","Oxidoreductases"
"76","1.1.1.26","Oxidoreductases"
"77","1.1.1.262","Oxidoreductases"
"78","1.1.1.266","Oxidoreductases"
"79","1.1.1.267","Oxidoreductases"
"80","1.1.1.27","Oxidoreductases"
"81","1.1.1.270","Oxidoreductases"
"82","1.1.1.271","Oxidoreductases"
"83","1.1.1.28","Oxidoreductases"
"84","1.1.1.281","Oxidoreductases"
"85","1.1.1.282","Oxidoreductases"
"86","1.1.1.283","Oxidoreductases"
"87","1.1.1.284","Oxidoreductases"
"88","1.1.1.285","Oxidoreductases"
"89","1.1.1.286","Oxidoreductases"
"90","1.1.1.287","Oxidoreductases"
"91","1.1.1.288","Oxidoreductases"
"92","1.1.1.289","Oxidoreductases"
"93","1.1.1.29","Oxidoreductases"
"94","1.1.1.290","Oxidoreductases"
"95","1.1.1.294","Oxidoreductases"
"96","1.1.1.298","Oxidoreductases"
"97","1.1.1.3","Oxidoreductases"
"98","1.1.1.30","Oxidoreductases"
"99","1.1.1.302","Oxidoreductases"
"100","1.1.1.305","Oxidoreductases"
"101","1.1.1.307","Oxidoreductases"
"102","1.1.1.309","Oxidoreductases"
"103","1.1.1.31","Oxidoreductases"
"104","1.1.1.310","Oxidoreductases"
"105","1.1.1.312","Oxidoreductases"
"106","1.1.1.313","Oxidoreductases"
"107","1.1.1.316","Oxidoreductases"
"108","1.1.1.324","Oxidoreductases"
"109","1.1.1.325","Oxidoreductases"
"110","1.1.1.330","Oxidoreductases"
"111","1.1.1.331","Oxidoreductases"
"112","1.1.1.332","Oxidoreductases"
"113","1.1.1.335","Oxidoreductases"
"114","1.1.1.336","Oxidoreductases"
"115","1.1.1.337","Oxidoreductases"
"116","1.1.1.338","Oxidoreductases"
"117","1.1.1.339","Oxidoreductases"
"118","1.1.1.34","Oxidoreductases"
"119","1.1.1.340","Oxidoreductases"
"120","1.1.1.341","Oxidoreductases"
"121","1.1.1.342","Oxidoreductases"
"122","1.1.1.343","Oxidoreductases"
"123","1.1.1.344","Oxidoreductases"
"124","1.1.1.348","Oxidoreductases"
"125","1.1.1.349","Oxidoreductases"
"126","1.1.1.35","Oxidoreductases"
"127","1.1.1.350","Oxidoreductases"
"128","1.1.1.352","Oxidoreductases"
"129","1.1.1.356","Oxidoreductases"
"130","1.1.1.359","Oxidoreductases"
"131","1.1.1.36","Oxidoreductases"
"132","1.1.1.360","Oxidoreductases"
"133","1.1.1.361","Oxidoreductases"
"134","1.1.1.362","Oxidoreductases"
"135","1.1.1.363","Oxidoreductases"
"136","1.1.1.364","Oxidoreductases"
"137","1.1.1.365","Oxidoreductases"
"138","1.1.1.367","Oxidoreductases"
"139","1.1.1.368","Oxidoreductases"
"140","1.1.1.369","Oxidoreductases"
"141","1.1.1.37","Oxidoreductases"
"142","1.1.1.370","Oxidoreductases"
"143","1.1.1.371","Oxidoreductases"
"144","1.1.1.372","Oxidoreductases"
"145","1.1.1.377","Oxidoreductases"
"146","1.1.1.378","Oxidoreductases"
"147","1.1.1.380","Oxidoreductases"
"148","1.1.1.381","Oxidoreductases"
"149","1.1.1.384","Oxidoreductases"
"150","1.1.1.385","Oxidoreductases"
"151","1.1.1.39","Oxidoreductases"
"152","1.1.1.394","Oxidoreductases"
"153","1.1.1.40","Oxidoreductases"
"154","1.1.1.401","Oxidoreductases"
"155","1.1.1.404","Oxidoreductases"
"156","1.1.1.405","Oxidoreductases"
"157","1.1.1.41","Oxidoreductases"
"158","1.1.1.414","Oxidoreductases"
"159","1.1.1.415","Oxidoreductases"
"160","1.1.1.418","Oxidoreductases"
"161","1.1.1.42","Oxidoreductases"
"162","1.1.1.424","Oxidoreductases"
"163","1.1.1.426","Oxidoreductases"
"164","1.1.1.427","Oxidoreductases"
"165","1.1.1.429","Oxidoreductases"
"166","1.1.1.43","Oxidoreductases"
"167","1.1.1.433","Oxidoreductases"
"168","1.1.1.434","Oxidoreductases"
"169","1.1.1.435","Oxidoreductases"
"170","1.1.1.436","Oxidoreductases"
"171","1.1.1.437","Oxidoreductases"
"172","1.1.1.44","Oxidoreductases"
"173","1.1.1.45","Oxidoreductases"
"174","1.1.1.46","Oxidoreductases"
"175","1.1.1.47","Oxidoreductases"
"176","1.1.1.48","Oxidoreductases"
"177","1.1.1.49","Oxidoreductases"
"178","1.1.1.50","Oxidoreductases"
"179","1.1.1.51","Oxidoreductases"
"180","1.1.1.53","Oxidoreductases"
"181","1.1.1.56","Oxidoreductases"
"182","1.1.1.57","Oxidoreductases"
"183","1.1.1.58","Oxidoreductases"
"184","1.1.1.59","Oxidoreductases"
"185","1.1.1.6","Oxidoreductases"
"186","1.1.1.60","Oxidoreductases"
"187","1.1.1.61","Oxidoreductases"
"188","1.1.1.62","Oxidoreductases"
"189","1.1.1.64","Oxidoreductases"
"190","1.1.1.65","Oxidoreductases"
"191","1.1.1.67","Oxidoreductases"
"192","1.1.1.75","Oxidoreductases"
"193","1.1.1.77","Oxidoreductases"
"194","1.1.1.78","Oxidoreductases"
"195","1.1.1.79","Oxidoreductases"
"196","1.1.1.80","Oxidoreductases"
"197","1.1.1.81","Oxidoreductases"
"198","1.1.1.82","Oxidoreductases"
"199","1.1.1.83","Oxidoreductases"
"200","1.1.1.85","Oxidoreductases"
"201","1.1.1.86","Oxidoreductases"
"202","1.1.1.87","Oxidoreductases"
"203","1.1.1.9","Oxidoreductases"
"204","1.1.1.90","Oxidoreductases"
"205","1.1.1.92","Oxidoreductases"
"206","1.1.1.93","Oxidoreductases"
"207","1.1.1.95","Oxidoreductases"
"208","1.1.2.10","Oxidoreductases"
"209","1.1.2.2","Oxidoreductases"
"210","1.1.2.3","Oxidoreductases"
"211","1.1.2.4","Oxidoreductases"
"212","1.1.2.5","Oxidoreductases"
"213","1.1.2.7","Oxidoreductases"
"214","1.1.2.8","Oxidoreductases"
"215","1.1.3.12","Oxidoreductases"
"216","1.1.3.13","Oxidoreductases"
"217","1.1.3.15","Oxidoreductases"
"218","1.1.3.17","Oxidoreductases"
"219","1.1.3.23","Oxidoreductases"
"220","1.1.3.37","Oxidoreductases"
"221","1.1.3.4","Oxidoreductases"
"222","1.1.3.41","Oxidoreductases"
"223","1.1.3.46","Oxidoreductases"
"224","1.1.3.5","Oxidoreductases"
"225","1.1.3.8","Oxidoreductases"
"226","1.1.3.9","Oxidoreductases"
"227","1.1.5.12","Oxidoreductases"
"228","1.1.5.13","Oxidoreductases"
"229","1.1.5.2","Oxidoreductases"
"230","1.1.5.4","Oxidoreductases"
"231","1.1.5.5","Oxidoreductases"
"232","1.1.5.8","Oxidoreductases"
"233","1.1.5.9","Oxidoreductases"
"234","1.1.7.1","Oxidoreductases"
"235","1.1.98.6","Oxidoreductases"
"236","1.1.99.1","Oxidoreductases"
"237","1.1.99.14","Oxidoreductases"
"238","1.1.99.2","Oxidoreductases"
"239","1.1.99.21","Oxidoreductases"
"240","1.1.99.3","Oxidoreductases"
"241","1.1.99.40","Oxidoreductases"
"242","1.1.99.41","Oxidoreductases"
"243","1.1.99.6","Oxidoreductases"
"244","1.1.99.7","Oxidoreductases"
"245","1.10.3.1","Oxidoreductases"
"246","1.10.3.15","Oxidoreductases"
"247","1.10.3.16","Oxidoreductases"
"248","1.10.3.3","Oxidoreductases"
"249","1.10.3.4","Oxidoreductases"
"250","1.10.3.9","Oxidoreductases"
"251","1.11.1.11","Oxidoreductases"
"252","1.11.1.12","Oxidoreductases"
"253","1.11.1.20","Oxidoreductases"
"254","1.11.1.21","Oxidoreductases"
"255","1.11.1.23","Oxidoreductases"
"256","1.11.1.27","Oxidoreductases"
"257","1.11.1.6","Oxidoreductases"
"258","1.11.1.7","Oxidoreductases"
"259","1.11.1.8","Oxidoreductases"
"260","1.11.1.9","Oxidoreductases"
"261","1.11.2.6","Oxidoreductases"
"262","1.12.98.1","Oxidoreductases"
"263","1.12.98.2","Oxidoreductases"
"264","1.13.11.1","Oxidoreductases"
"265","1.13.11.11","Oxidoreductases"
"266","1.13.11.12","Oxidoreductases"
"267","1.13.11.15","Oxidoreductases"
"268","1.13.11.16","Oxidoreductases"
"269","1.13.11.18","Oxidoreductases"
"270","1.13.11.19","Oxidoreductases"
"271","1.13.11.2","Oxidoreductases"
"272","1.13.11.20","Oxidoreductases"
"273","1.13.11.25","Oxidoreductases"
"274","1.13.11.27","Oxidoreductases"
"275","1.13.11.3","Oxidoreductases"
"276","1.13.11.33","Oxidoreductases"
"277","1.13.11.34","Oxidoreductases"
"278","1.13.11.37","Oxidoreductases"
"279","1.13.11.39","Oxidoreductases"
"280","1.13.11.4","Oxidoreductases"
"281","1.13.11.46","Oxidoreductases"
"282","1.13.11.5","Oxidoreductases"
"283","1.13.11.51","Oxidoreductases"
"284","1.13.11.52","Oxidoreductases"
"285","1.13.11.53","Oxidoreductases"
"286","1.13.11.54","Oxidoreductases"
"287","1.13.11.55","Oxidoreductases"
"288","1.13.11.56","Oxidoreductases"
"289","1.13.11.59","Oxidoreductases"
"290","1.13.11.6","Oxidoreductases"
"291","1.13.11.63","Oxidoreductases"
"292","1.13.11.73","Oxidoreductases"
