EC,degree_activated,Activators,subs,prod,genes,count_rxn,essentiality,essential_prod,rxnShortPath
EC_1.4.1.2,28,C00002|C00008|C00020|C00027|C00037|C00038|C00041|C00047|C00049|C00062|C00064|C00065|C00073|C00078|C00079|C00082|C00086|C00097|C00101|C00116|C00123|C00135|C00152|C00183|C00188|C00311|C00360|C00407,C00001|C00025|C00003,C00026|C01342|C00080|C00004,YDL215C,1,0,4,NA
EC_2.7.1.40,28,C00002|C00009|C00011|C00020|C00025|C00037|C00049|C00051|C00064|C00065|C00073|C00074|C00085|C00092|C00097|C00103|C00111|C00117|C00152|C00199|C00279|C00345|C00354|C00407|C00661|C00665|C01097|C03189,C00008|C00080|C00074,C00002|C00022,YAL038W|YOR347C,1,1,2,4
EC_3.5.4.1,25,C00002|C00009|C00025|C00035|C00037|C00044|C00049|C00059|C00064|C00065|C00073|C00079|C00081|C00097|C00104|C00123|C00135|C00152|C00183|C00188|C00263|C00360|C00362|C00407|C01157,C00080|C00001|C02376,C01342|C00178,YPR062W|YPR062W,2,0,1,4
EC_3.1.3.11,24,C00002|C00008|C00009|C00010|C00020|C00037|C00051|C00059|C00074|C00076|C00086|C00097|C00135|C00158|C00238|C00288|C00305|C00342|C00575|C00712|C00860|C01152|C01595|C01678,C00354|C00001,C00085|C00009,YLR377C,1,0,2,3
EC_3.1.3.2,23,C00008|C00011|C00020|C00022|C00033|C00042|C00072|C00076|C00097|C00132|C00144|C00147|C00158|C00212|C00242|C00315|C00387|C00575|C00750|C00942|C05122|C14819|C19610,C00345|C00001,C00009|C00257,YBR093C|YAR071W|YBR092C|YHR215W|YBR092C|YBR092C|YDL024C,5,0,1,4
EC_3.1.4.4,21,C00001|C00002|C00008|C00027|C00035|C00044|C00072|C00075|C00076|C00165|C00350|C00416|C00469|C00575|C00681|C00712|C01194|C01595|C02737|C06424|C13889,C00080|C00001,C00114,YKR031C|YKR031C|YKR031C|YKR031C|YKR031C|YKR031C|YKR031C|YKR031C,8,0,0,6
EC_3.1.2.2,19,C00002|C00003|C00008|C00016|C00042|C00061|C00097|C00122|C00157|C00158|C00253|C00255|C00318|C00350|C00469|C00712|C01356|C01595|C04230,C00001|C02050,C00010|C00080|C01595,YJR019C|YJR019C|YJR019C|YJR019C|YJR019C|YJR019C|YJR019C|YJR019C|YJR019C|YJR019C,11,1,2,5
EC_3.1.2.1,18,C00002|C00004|C00008|C00009|C00013|C00024|C00033|C00035|C00044|C00051|C00063|C00116|C00124|C00127|C00163|C00318|C00416|C01678,C00033|C00024|C00042|C00091,C00033|C00024|C00042|C00091,YBL015W|YBL015W,2,0,4,4
EC_2.4.1.11,17,C00009|C00025|C00031|C00049|C00059|C00092|C00117|C00124|C00148|C00159|C00163|C00182|C00184|C00329|C00352|C00379|C06369,C00029,C00182|C00080|C00015,YFR015C|YJL137C|YFR015C|YKR058W|YJL137C|YLR258W|YKR058W|YLR258W,1,1,3,3
EC_2.7.1.11,17,C00008|C00009|C00020|C00035|C00051|C00059|C00074|C00085|C00116|C00158|C00288|C00354|C00575|C00665|C00698|C01083|C02737,C00002|C05382,C00008|C00080|C00447,YGR240C|YMR205C|YGR240C|YMR205C,2,0,2,2
